Symbol,Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (),Beta,R2,Volatility_Per,Monthly Return,Avg_Impact_Cost_percent,report_date
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17773,1.12,0.487889239,0.097271044,2.16,-2.24,0.06,2012-01-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,34379,1.15,0.84,0.19,1.23,-7.76,0.04,2015-01-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,39983.38,1.32,0.88,0.35,1.42,2.56,0.02,2016-06-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,19133.33,1.17,0.58,0.15,1.18,-6.72,0.05,2012-07-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,35014.96,1.16,0.71,0.17,1.73,6.31,0.05,2015-07-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,14715.01,0.81,0.73,0.16,1.79,-7.52,0.07,2013-03-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,27291.92,1.21533398,0.717968684,0.22799157,1.309743768,15.63937676,0.07,2014-03-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,31251.1,1.17,0.88,0.26,0.9,0.01,0.05,2014-08-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,19529,1.12,0.56,0.13,1.93,12.48,0.07,2013-08-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,31449.52,1.26,0.78,0.28,1.71,-2.56,0.03,2016-02-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,13982,0.88,0.52,0.06,2.92,-10.28,0.07,2011-02-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,12569,1.08,0.46,0.26,2.04,4.52,0.1,2009-06-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,15988,1.12,0.74,0.34,1.66,14.03,0.07,2010-02-01
HEROHONDA,Hero Honda Motors Ltd.,Automohiles - 2 and 3 wheelers,399375000,16048,0.88,0.41,0.19,1.65,0,0.08,2008-12-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,18921,1.09,0.51,0.1,1.46,7.85,0.08,2010-11-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17226.77,1.13,0.83,0.36,2.33,-1.49,0.06,2010-04-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17464,1.14,0.55,0.14,2.05,-18.34,0.06,2012-05-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,35199.65,1.18,0.71,0.16,1.57,15.8,0.04,2015-05-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17800,1,0.59,0.13,1.44,0.92,0.06,2010-10-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,15449,1.02,0.63,0.28,1.18,-0.45,0.06,2009-12-01
